 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999654949    
   2.87500000      0.998964787    
   3.12500000      0.996664345    
   3.37500000      0.979181051    
   3.62500000      0.963653088    
   3.87500000      0.945134580    
   4.12500000      0.917759359    
   4.37500000      0.881872535    
   4.62500000      0.757533908    
   4.87500000      0.737865210    
   5.12500000      0.725902915    
   5.37500000      0.711755216    
   5.62500000      0.699102819    
   5.87500000      0.689095914    
   6.12500000      0.676098466    
   6.37500000      0.666321576    
   6.62500000      0.656314671    
   6.87500000      0.646997929    
   7.12500000      0.639291465    
   7.37500000      0.630434811    
   7.62500000      0.622843325    
   7.87500000      0.615136862    
   8.12500000      0.608810663    
   8.37500000      0.601334274    
   8.62500000      0.593627810    
   8.87500000      0.585001171    
   9.12500000      0.576029420    
   9.37500000      0.567402780    
   9.62500000      0.559121251    
   9.87500000      0.543363214    
   10.1250000      0.513227522    
   10.3750000      0.471014500    
   10.6250000       0.00000000    
   10.8750000       0.00000000    
   11.1250000       0.00000000    
   11.3750000       0.00000000    
   11.6250000       0.00000000    
   11.8750000       0.00000000    
   12.1250000       0.00000000    
   12.3750000       0.00000000    
   12.6250000       0.00000000    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
